CustomerID,Gender,Age,Plan,Contract,TenureMonths,MonthlyCharges,TotalCharges,PaymentMethod,SupportCalls,SatisfactionScore,Churn
CUST00088,Male,30,Standard,Month-to-Month,32,19.6,606.55,Credit Card,2,5,No
CUST00089,Female,30,Premium,Month-to-Month,52,39.59,2004.58,PayPal,4,3,No
CUST00090,Female,35,Basic,Month-to-Month,20,7.95,164.6,Credit Card,2,4,No
CUST00091,Female,49,Basic,Annual,48,9.03,435.96,Bank Transfer,1,4,No
CUST00092,Female,49,Standard,Month-to-Month,56,18.76,1025.79,Debit Card,0,2,No
CUST00093,Female,52,Premium,Annual,2,38.84,76.91,PayPal,1,2,No
CUST00094,Female,56,Standard,Annual,20,20.0,361.04,Credit Card,1,3,No
CUST00095,Female,63,Basic,Annual,47,6.34,314.1,Bank Transfer,1,1,No
CUST00096,Female,69,Standard,Annual,18,17.72,289.68,Debit Card,0,1,Yes
CUST00097,Female,46,Basic,Month-to-Month,1,9.82,10.47,Debit Card,1,5,Yes
CUST00098,Female,66,Standard,Month-to-Month,58,20.17,1179.45,Credit Card,1,1,No
CUST00099,Female,46,Premium,Annual,29,39.64,1155.96,Bank Transfer,4,2,Yes
CUST00100,Male,61,Standard,Month-to-Month,29,19.93,601.62,Debit Card,2,1,Yes
CUST00101,Male,33,Premium,Month-to-Month,19,39.38,802.03,Debit Card,0,5,Yes
CUST00102,Female,61,Basic,Month-to-Month,44,9.96,477.04,PayPal,0,4,Yes
CUST00103,Female,64,Standard,Two-Year,40,20.64,832.76,Debit Card,2,1,No
CUST00104,Female,27,Premium,Month-to-Month,6,40.63,226.75,Credit Card,1,1,Yes
CUST00105,Female,47,Basic,Month-to-Month,44,8.96,424.09,Bank Transfer,1,2,Yes
CUST00106,Female,42,Premium,Annual,39,41.36,1464.86,Bank Transfer,4,3,No
CUST00107,Female,56,Basic,Annual,50,10.23,542.94,PayPal,0,4,No
CUST00108,Female,37,Standard,Month-to-Month,54,21.84,1221.92,Bank Transfer,3,3,Yes
CUST00109,Female,22,Premium,Month-to-Month,46,42.14,2095.35,Credit Card,0,5,Yes
CUST00110,Male,18,Standard,Annual,8,17.83,153.98,Debit Card,1,5,No
CUST00111,Female,47,Basic,Two-Year,24,8.7,190.14,PayPal,0,3,No
CUST00112,Male,66,Standard,Annual,20,21.21,433.49,Bank Transfer,2,2,No
CUST00113,Female,20,Standard,Month-to-Month,54,17.49,873.56,PayPal,2,2,No
CUST00114,Female,62,Premium,Month-to-Month,14,42.12,539.97,PayPal,2,2,No
CUST00115,Male,31,Basic,Two-Year,5,9.47,46.86,Bank Transfer,3,4,No
CUST00116,Female,47,Basic,Annual,41,10.85,409.05,PayPal,4,5,No
CUST00117,Male,67,Standard,Month-to-Month,40,19.82,828.94,Bank Transfer,3,5,No
CUST00118,Female,21,Basic,Month-to-Month,34,7.9,293.79,Credit Card,4,5,No
CUST00119,Female,35,Standard,Annual,16,21.57,349.92,Bank Transfer,5,4,Yes
CUST00120,Male,54,Standard,Month-to-Month,45,24.12,1027.91,Debit Card,1,5,No
CUST00121,Female,42,Premium,Month-to-Month,7,39.22,293.38,Bank Transfer,2,3,No
CUST00122,Male,65,Standard,Month-to-Month,16,19.51,334.2,Debit Card,0,1,Yes
CUST00123,Female,18,Standard,Month-to-Month,7,16.02,117.36,PayPal,0,4,Yes
CUST00124,Male,63,Basic,Month-to-Month,27,12.02,332.01,Bank Transfer,0,1,Yes
CUST00125,Male,32,Basic,Annual,14,11.36,170.74,Debit Card,0,3,No
CUST00126,Female,26,Basic,Month-to-Month,14,7.39,96.49,Bank Transfer,1,2,No
CUST00127,Female,32,Basic,Month-to-Month,44,6.89,329.33,Bank Transfer,0,2,Yes
CUST00128,Male,66,Standard,Month-to-Month,33,17.07,613.69,Bank Transfer,0,2,Yes
CUST00129,Female,41,Standard,Month-to-Month,33,20.96,743.14,Credit Card,2,4,No
CUST00130,Female,21,Standard,Month-to-Month,44,21.11,882.52,Debit Card,2,2,Yes
CUST00131,Female,29,Premium,Month-to-Month,20,38.6,827.3,Credit Card,1,4,Yes
CUST00132,Male,54,Premium,Annual,53,40.74,2158.2,Credit Card,1,4,No
CUST00133,Male,54,Premium,Month-to-Month,47,40.23,1926.71,Debit Card,1,1,Yes
CUST00134,Male,60,Standard,Month-to-Month,36,19.44,747.51,Bank Transfer,2,2,Yes
CUST00135,Male,23,Standard,Month-to-Month,7,21.45,136.02,Credit Card,1,5,Yes
CUST00136,Male,56,Basic,Month-to-Month,32,8.18,254.58,Credit Card,1,2,Yes
CUST00137,Male,63,Basic,Two-Year,48,11.71,597.57,Credit Card,0,2,No
CUST00138,Male,41,Basic,Month-to-Month,3,8.9,28.38,Bank Transfer,2,2,Yes
CUST00139,Male,28,Premium,Two-Year,39,42.66,1779.77,Credit Card,0,5,No
CUST00140,Male,30,Premium,Month-to-Month,29,38.48,1042.09,PayPal,1,5,No
CUST00141,Female,51,Basic,Annual,24,9.46,236.39,Debit Card,1,4,No
CUST00142,Male,42,Standard,Month-to-Month,22,20.08,410.53,PayPal,1,5,No
CUST00143,Female,24,Premium,Annual,6,40.07,254.13,Bank Transfer,0,4,No
CUST00144,Female,69,Basic,Month-to-Month,48,10.73,488.79,Credit Card,1,1,Yes
CUST00145,Female,21,Basic,Month-to-Month,24,8.06,202.64,Debit Card,2,4,No
CUST00146,Male,25,Premium,Annual,40,39.93,1582.83,Credit Card,1,2,Yes
CUST00147,Male,37,Basic,Annual,23,10.2,257.42,Bank Transfer,4,3,No
CUST00148,Male,46,Basic,Month-to-Month,54,9.2,504.74,Debit Card,1,3,No
CUST00149,Male,68,Standard,Month-to-Month,38,20.6,803.56,PayPal,1,2,Yes
CUST00150,Female,62,Premium,Month-to-Month,10,37.97,369.69,Debit Card,3,4,No
CUST00151,Male,63,Standard,Annual,16,19.5,326.63,Credit Card,3,2,No
CUST00152,Male,27,Basic,Month-to-Month,11,8.86,97.36,Debit Card,1,5,Yes
CUST00153,Male,60,Basic,Month-to-Month,32,9.5,274.7,Bank Transfer,1,4,No
CUST00154,Male,51,Standard,Annual,45,22.16,1018.86,Bank Transfer,0,2,No
CUST00155,Male,43,Standard,Two-Year,6,22.19,141.94,Debit Card,2,5,No
CUST00156,Female,58,Standard,Annual,24,21.9,497.93,Bank Transfer,0,5,No
CUST00157,Male,66,Basic,Annual,33,9.3,289.78,Bank Transfer,2,4,No
CUST00158,Female,20,Premium,Annual,53,41.35,2239.28,Bank Transfer,0,1,No
CUST00159,Male,23,Basic,Month-to-Month,51,10.16,551.11,PayPal,0,1,Yes
CUST00160,Female,22,Basic,Month-to-Month,12,10.06,114.67,Credit Card,2,5,No
CUST00161,Male,22,Basic,Annual,56,9.87,600.5,Bank Transfer,1,1,Yes
CUST00162,Male,64,Basic,Month-to-Month,27,12.63,370.16,Debit Card,2,5,No
CUST00163,Female,40,Standard,Two-Year,38,22.04,787.36,Bank Transfer,2,1,No
CUST00164,Female,66,Standard,Month-to-Month,18,21.11,362.03,PayPal,2,5,No
CUST00165,Female,26,Basic,Month-to-Month,45,9.73,455.42,Debit Card,3,5,No
CUST00166,Male,52,Standard,Two-Year,39,20.05,852.6,Credit Card,1,5,No
CUST00167,Female,37,Basic,Annual,55,10.79,618.36,Debit Card,2,5,No
CUST00168,Male,66,Standard,Month-to-Month,13,19.21,246.98,Debit Card,2,3,No
CUST00169,Male,59,Premium,Annual,53,41.4,2048.94,Debit Card,1,1,Yes
CUST00170,Female,52,Basic,Annual,40,8.61,341.71,Debit Card,2,5,No
CUST00171,Female,67,Standard,Month-to-Month,30,20.58,630.58,Bank Transfer,1,2,No
CUST00172,Male,35,Basic,Month-to-Month,53,6.56,335.93,Credit Card,3,4,No
CUST00173,Male,34,Basic,Annual,49,9.16,449.76,Bank Transfer,2,2,No
CUST00174,Female,41,Basic,Two-Year,41,13.11,497.76,PayPal,2,2,No
CUST00175,Female,20,Standard,Month-to-Month,52,21.54,1109.37,PayPal,2,3,No
CUST00176,Female,49,Standard,Two-Year,13,22.29,266.05,Debit Card,1,1,No
CUST00177,Male,52,Basic,Two-Year,34,8.99,278.09,Bank Transfer,0,3,Yes
CUST00178,Male,55,Premium,Month-to-Month,36,40.15,1548.67,Bank Transfer,1,1,No
CUST00179,Male,30,Standard,Annual,30,21.91,618.53,Credit Card,4,5,No
CUST00180,Male,64,Premium,Month-to-Month,25,40.94,1038.88,Credit Card,1,3,No
CUST00181,Male,42,Standard,Month-to-Month,2,20.75,38.59,Credit Card,1,4,No
CUST00182,Male,26,Standard,Annual,36,22.44,769.47,Bank Transfer,1,1,Yes
CUST00183,Female,21,Basic,Two-Year,18,8.43,147.53,Credit Card,0,3,No
CUST00184,Male,31,Basic,Annual,5,9.71,45.09,Credit Card,0,4,No
CUST00185,Male,54,Premium,Month-to-Month,19,37.36,645.38,Credit Card,3,2,No
CUST00186,Male,51,Basic,Month-to-Month,42,8.35,377.15,Debit Card,0,5,No
CUST00187,Female,28,Premium,Month-to-Month,18,41.6,675.69,PayPal,1,5,Yes
CUST00188,Male,58,Standard,Month-to-Month,57,18.61,967.7,PayPal,1,2,Yes
CUST00189,Male,20,Basic,Month-to-Month,32,11.09,376.53,Bank Transfer,2,3,Yes
CUST00190,Female,45,Basic,Annual,21,12.48,250.65,Bank Transfer,1,2,No
CUST00191,Male,46,Basic,Month-to-Month,10,9.72,101.53,Debit Card,2,4,No
CUST00192,Male,26,Premium,Annual,37,40.77,1401.76,PayPal,1,1,Yes
CUST00193,Male,20,Basic,Month-to-Month,49,11.1,515.32,Credit Card,0,3,No
CUST00194,Male,42,Basic,Annual,22,8.16,182.13,Credit Card,0,1,No
CUST00195,Male,51,Basic,Month-to-Month,13,9.07,129.43,Bank Transfer,2,2,Yes
CUST00196,Female,29,Basic,Month-to-Month,55,8.48,426.61,PayPal,3,5,No
CUST00197,Female,59,Standard,Month-to-Month,17,19.18,319.57,Bank Transfer,2,1,No
CUST00198,Female,26,Basic,Month-to-Month,9,11.06,90.44,Bank Transfer,0,1,Yes
CUST00199,Male,32,Premium,Two-Year,24,39.1,881.95,Credit Card,0,5,No
CUST00200,Male,57,Basic,Month-to-Month,44,9.94,473.0,Credit Card,3,1,Yes
CUST00201,Male,42,Basic,Annual,14,8.43,108.49,PayPal,3,1,No
CUST00202,Female,22,Standard,Two-Year,46,21.83,1075.85,Bank Transfer,1,5,No
CUST00203,Male,28,Basic,Annual,8,9.17,68.63,Debit Card,2,5,No
CUST00204,Male,51,Premium,Month-to-Month,55,42.27,2493.07,PayPal,1,2,No
CUST00205,Female,41,Standard,Two-Year,37,20.08,748.61,Bank Transfer,1,2,No
CUST00206,Male,32,Basic,Month-to-Month,19,7.88,161.05,PayPal,2,1,Yes
CUST00207,Female,55,Standard,Month-to-Month,28,19.73,513.96,PayPal,2,3,No
CUST00208,Female,25,Basic,Two-Year,46,8.4,406.65,PayPal,4,2,No
CUST00209,Female,22,Basic,Annual,41,10.87,461.78,Debit Card,3,2,No
CUST00210,Male,65,Premium,Month-to-Month,30,39.6,1198.2,Debit Card,2,3,No
CUST00211,Male,43,Standard,Month-to-Month,7,20.23,150.41,Credit Card,1,3,Yes
CUST00212,Male,35,Premium,Month-to-Month,59,39.44,2395.97,Credit Card,3,5,No
CUST00213,Male,23,Standard,Month-to-Month,58,19.16,1195.08,Bank Transfer,0,2,Yes
CUST00214,Male,54,Standard,Month-to-Month,26,18.53,470.32,PayPal,3,4,No
CUST00215,Male,65,Basic,Two-Year,40,11.24,457.69,Bank Transfer,1,4,No
CUST00216,Male,30,Basic,Two-Year,46,9.73,480.75,Credit Card,0,1,No
CUST00217,Female,45,Premium,Two-Year,54,39.52,2012.36,Debit Card,2,2,No
CUST00218,Male,22,Basic,Month-to-Month,46,9.69,444.47,Credit Card,1,4,No
CUST00219,Female,30,Premium,Annual,11,38.97,468.17,Bank Transfer,0,2,No
CUST00220,Male,34,Standard,Two-Year,14,19.52,271.84,Credit Card,0,2,No
CUST00221,Male,67,Basic,Two-Year,21,10.3,205.61,Bank Transfer,1,4,No
CUST00222,Male,57,Standard,Month-to-Month,8,18.44,143.13,Bank Transfer,1,2,No
CUST00223,Female,62,Standard,Month-to-Month,3,18.66,60.29,Bank Transfer,1,3,No
CUST00224,Female,49,Basic,Month-to-Month,28,12.06,368.4,Bank Transfer,3,1,No
CUST00225,Female,46,Premium,Annual,29,39.45,1247.04,Credit Card,1,5,No
CUST00226,Female,68,Standard,Annual,23,19.16,458.21,Bank Transfer,0,4,No
CUST00227,Male,20,Basic,Annual,18,7.97,143.74,Bank Transfer,2,5,No
CUST00228,Female,57,Standard,Month-to-Month,35,21.27,697.21,PayPal,3,1,Yes
CUST00229,Male,51,Premium,Month-to-Month,13,38.41,461.7,Bank Transfer,1,3,Yes
CUST00230,Male,57,Basic,Month-to-Month,12,9.97,109.11,Credit Card,3,3,Yes
CUST00231,Female,44,Premium,Month-to-Month,47,37.43,1589.52,Bank Transfer,1,3,No
CUST00232,Female,30,Basic,Month-to-Month,50,11.22,603.42,Debit Card,3,3,Yes
CUST00233,Female,62,Standard,Annual,5,21.76,115.53,Debit Card,1,4,Yes
CUST00234,Female,50,Standard,Month-to-Month,39,20.72,819.04,Bank Transfer,4,4,No
CUST00235,Female,23,Basic,Annual,11,7.69,93.03,Debit Card,2,2,Yes
CUST00236,Female,41,Basic,Month-to-Month,58,11.25,711.62,Debit Card,2,2,Yes
CUST00237,Female,36,Standard,Month-to-Month,59,18.75,1140.57,Credit Card,3,1,No
CUST00238,Female,33,Standard,Month-to-Month,11,18.23,199.11,PayPal,1,2,Yes
CUST00239,Male,57,Standard,Two-Year,59,19.41,1065.52,Debit Card,1,1,No
CUST00240,Female,45,Basic,Month-to-Month,47,9.38,442.23,Debit Card,1,1,Yes
CUST00241,Female,50,Premium,Annual,42,39.23,1534.88,PayPal,3,1,No
CUST00242,Male,65,Standard,Month-to-Month,47,21.9,1008.4,PayPal,1,3,Yes
CUST00243,Female,58,Premium,Two-Year,31,43.01,1451.35,Debit Card,1,5,No
CUST00244,Male,30,Basic,Annual,31,7.94,238.36,Bank Transfer,4,5,No
CUST00245,Male,60,Standard,Month-to-Month,13,18.96,229.36,Debit Card,1,4,No
CUST00246,Female,62,Standard,Annual,14,20.2,287.46,Bank Transfer,0,1,Yes
CUST00247,Male,42,Basic,Month-to-Month,49,9.41,470.53,Bank Transfer,2,3,Yes
CUST00248,Male,59,Standard,Two-Year,45,20.59,869.81,Bank Transfer,2,2,No
CUST00249,Male,53,Basic,Month-to-Month,42,11.36,448.17,PayPal,3,2,Yes
CUST00250,Male,44,Standard,Month-to-Month,25,21.11,579.42,Debit Card,1,4,No
CUST00251,Female,55,Standard,Annual,33,20.9,654.29,Debit Card,2,4,No
CUST00252,Male,24,Basic,Annual,33,12.48,439.7,Credit Card,1,1,No
CUST00253,Female,22,Standard,Month-to-Month,15,17.61,262.58,PayPal,1,1,No
CUST00254,Male,60,Standard,Annual,16,22.21,350.74,Credit Card,1,2,Yes
CUST00255,Male,62,Basic,Month-to-Month,44,9.37,395.37,Credit Card,1,2,Yes
CUST00256,Male,68,Premium,Month-to-Month,58,41.17,2518.63,Bank Transfer,2,2,Yes
CUST00257,Male,48,Premium,Annual,56,38.45,2317.13,PayPal,2,2,No
CUST00258,Female,40,Standard,Month-to-Month,38,18.63,674.12,Credit Card,1,5,No
CUST00259,Female,59,Basic,Month-to-Month,6,10.98,60.54,Debit Card,2,1,Yes
CUST00260,Male,27,Standard,Annual,44,17.1,697.76,Credit Card,3,1,Yes
CUST00261,Male,49,Standard,Month-to-Month,25,21.47,568.18,PayPal,0,2,Yes
CUST00262,Female,60,Basic,Annual,15,11.88,175.91,Debit Card,1,3,No
CUST00263,Male,47,Standard,Month-to-Month,4,20.26,75.07,Debit Card,0,2,No
CUST00264,Male,56,Standard,Month-to-Month,56,20.2,1095.07,Debit Card,3,4,No
CUST00265,Male,48,Standard,Month-to-Month,4,18.74,75.17,Bank Transfer,5,3,No
CUST00266,Female,35,Basic,Annual,30,11.0,353.24,Debit Card,0,4,No
CUST00267,Female,53,Standard,Annual,34,20.51,717.11,Bank Transfer,2,3,No
CUST00268,Female,19,Premium,Month-to-Month,27,38.61,974.92,Bank Transfer,0,4,No
CUST00269,Male,31,Basic,Month-to-Month,31,9.4,271.51,Credit Card,3,2,No
CUST00270,Male,30,Standard,Two-Year,56,19.75,1086.61,Credit Card,2,2,No
CUST00271,Female,46,Premium,Month-to-Month,32,39.4,1153.68,Debit Card,0,3,No
CUST00272,Female,29,Standard,Two-Year,44,17.95,830.17,PayPal,3,4,No
CUST00273,Female,56,Basic,Month-to-Month,39,11.04,422.07,Debit Card,0,5,No
CUST00274,Female,19,Standard,Annual,52,19.62,988.21,Credit Card,2,3,No
CUST00275,Male,49,Standard,Month-to-Month,9,20.01,180.42,Debit Card,0,3,No
CUST00276,Female,30,Premium,Two-Year,41,39.12,1670.95,Credit Card,4,1,No
CUST00277,Male,63,Standard,Annual,8,20.7,167.9,Debit Card,3,3,No
CUST00278,Female,44,Premium,Month-to-Month,14,40.29,598.17,PayPal,1,5,No
CUST00279,Male,66,Basic,Month-to-Month,33,11.81,399.81,Debit Card,1,2,Yes
CUST00280,Female,58,Basic,Annual,23,10.71,260.52,PayPal,1,4,No
CUST00281,Female,34,Standard,Annual,21,19.69,429.76,PayPal,0,1,No
CUST00282,Female,57,Basic,Month-to-Month,55,8.88,458.42,Debit Card,0,4,No
CUST00283,Female,48,Basic,Month-to-Month,12,11.29,123.35,PayPal,2,2,No
CUST00284,Male,51,Basic,Annual,57,9.57,589.5,PayPal,2,3,No
CUST00285,Female,41,Basic,Month-to-Month,2,9.73,21.19,Credit Card,2,5,No
CUST00286,Male,62,Basic,Annual,13,9.73,132.23,Credit Card,0,1,No
CUST00287,Male,52,Premium,Month-to-Month,59,39.39,2428.22,PayPal,0,5,Yes
CUST00288,Male,65,Basic,Two-Year,4,9.76,37.25,Bank Transfer,1,5,No
CUST00289,Male,23,Standard,Two-Year,20,22.88,461.48,Debit Card,1,5,Yes
CUST00290,Female,36,Standard,Two-Year,50,18.42,1011.67,PayPal,0,5,No
CUST00291,Male,47,Premium,Month-to-Month,51,38.77,2118.11,Debit Card,4,2,Yes
CUST00292,Male,24,Basic,Two-Year,48,12.07,556.69,Credit Card,2,5,No
CUST00293,Male,27,Premium,Month-to-Month,59,39.43,2233.8,Debit Card,1,5,No
CUST00294,Female,58,Standard,Annual,14,19.31,269.45,PayPal,1,2,No
CUST00295,Female,49,Standard,Month-to-Month,30,21.54,633.87,PayPal,1,4,No
CUST00296,Female,51,Standard,Month-to-Month,29,17.86,504.59,PayPal,0,2,Yes
CUST00297,Female,45,Premium,Two-Year,8,41.22,338.13,PayPal,0,3,No
CUST00298,Male,32,Basic,Month-to-Month,12,10.06,108.93,Bank Transfer,0,2,Yes
CUST00299,Male,47,Standard,Annual,41,20.69,892.97,Bank Transfer,1,4,No
CUST00300,Female,54,Standard,Annual,38,20.66,822.77,Bank Transfer,0,3,No
CUST00301,Male,46,Standard,Annual,26,19.05,528.02,PayPal,4,3,No
CUST00302,Male,39,Premium,Month-to-Month,50,41.57,2220.44,Bank Transfer,0,1,Yes
CUST00303,Male,21,Basic,Month-to-Month,2,9.16,18.56,Debit Card,1,5,No
CUST00304,Female,37,Premium,Annual,55,40.6,2358.08,PayPal,2,3,No
CUST00305,Female,49,Basic,Month-to-Month,40,11.85,473.28,Credit Card,2,3,No
CUST00306,Male,53,Basic,Month-to-Month,56,12.06,736.35,PayPal,2,4,No
CUST00307,Female,67,Basic,Month-to-Month,14,9.59,125.95,Debit Card,1,3,No
CUST00308,Female,21,Basic,Month-to-Month,6,10.68,69.41,Bank Transfer,4,4,No
CUST00309,Female,44,Standard,Two-Year,42,19.45,777.45,PayPal,3,5,No
CUST00310,Female,34,Basic,Month-to-Month,40,13.75,506.3,Bank Transfer,0,1,Yes
